00:00:00:000
2,3,0,1
2,2,0,1
1,18,0,0
1,15,0,0
1,12,0,0
1,8,0,0
0,18,0,1
0,15,0,1
0,14,0,0
0,12,0,1
0,9,0,0
0,8,0,1
00:00:05:440
16,2,0,0
15,2,0,1
4,14,0,1
00:00:05:450
10,3,0,0
9,3,0,1
00:00:05:500
19,18,0,1
19,15,0,1
19,14,0,0
19,12,0,1
19,9,0,0
19,8,0,1
18,18,0,0
18,14,0,1
18,13,0,0
18,12,0,0
18,9,0,1
18,8,0,0
18,0,0,0
17,18,0,1
17,13,0,1
17,12,0,1
17,11,0,0
17,10,0,0
17,8,0,1
17,3,0,0
17,1,0,0
17,0,0,1
16,19,0,0
16,11,0,1
16,10,0,1
16,3,0,1
16,1,0,1
15,19,0,1
15,17,0,0
15,9,0,0
14,19,0,0
14,18,0,0
14,17,0,1
14,16,0,0
14,15,0,0
14,9,0,1
13,19,0,1
13,18,0,1
13,17,0,0
13,16,0,1
13,15,0,1
13,1,0,0
13,0,0,0
12,17,0,1
12,15,0,0
12,14,0,0
12,1,0,1
12,0,0,1
11,19,0,0
11,17,0,0
11,16,0,0
11,15,0,1
11,14,0,1
11,13,0,0
11,10,0,0
11,2,0,0
11,1,0,0
11,0,0,0
10,19,0,1
10,17,0,1
10,16,0,1
10,14,0,0
10,13,0,1
10,10,0,1
10,4,0,0
10,2,0,1
10,1,0,1
10,0,0,1
9,16,0,0
9,15,0,0
9,14,0,1
9,13,0,0
9,4,0,1
9,2,0,0
9,0,0,0
8,16,0,1
8,15,0,1
8,13,0,1
8,2,0,1
8,1,0,0
8,0,0,1
7,14,0,0
7,13,0,0
7,12,0,0
7,2,0,0
7,1,0,1
6,16,0,0
6,14,0,1
6,13,0,1
6,12,0,1
6,2,0,1
5,16,0,1
5,15,0,0
5,14,0,0
5,9,0,0
4,16,0,0
4,13,0,0
4,12,0,0
4,9,0,1
4,8,0,0
4,3,0,0
4,2,0,0
3,17,0,0
3,16,0,1
3,15,0,1
3,13,0,1
3,12,0,1
3,11,0,0
3,10,0,0
3,9,0,0
3,8,0,1
3,7,0,0
3,3,0,1
3,2,0,1
3,1,0,0
2,17,0,1
2,14,0,0
2,13,0,0
2,12,0,0
2,11,0,1
2,10,0,1
2,9,0,1
2,8,0,0
2,6,0,0
2,4,0,0
2,3,0,0
2,2,0,0
2,1,0,1
1,14,0,1
1,13,0,1
1,12,0,1
1,8,0,1
1,7,0,1
1,6,0,1
1,4,0,1
1,3,0,1
1,2,0,1
0,18,0,0
0,15,0,0
0,12,0,0
0,8,0,0
00:00:05:540
15,2,0,0
14,2,0,1
3,14,0,1
00:00:05:550
9,3,0,0
8,3,0,1
00:00:05:600
19,18,0,0
19,15,0,0
19,12,0,0
19,8,0,0
18,18,0,1
18,15,0,1
18,14,0,0
18,12,0,1
18,9,0,0
18,8,0,1
17,18,0,0
17,14,0,1
17,13,0,0
17,12,0,0
17,9,0,1
17,8,0,0
17,0,0,0
16,18,0,1
16,13,0,1
16,12,0,1
16,11,0,0
16,10,0,0
16,8,0,1
16,3,0,0
16,1,0,0
16,0,0,1
15,19,0,0
15,11,0,1
15,10,0,1
15,3,0,1
15,1,0,1
14,19,0,1
14,17,0,0
14,9,0,0
13,19,0,0
13,18,0,0
13,17,0,1
13,16,0,0
13,15,0,0
13,9,0,1
12,19,0,1
12,18,0,1
12,17,0,0
12,16,0,1
12,15,0,1
12,1,0,0
12,0,0,0
11,17,0,1
11,15,0,0
11,14,0,0
11,1,0,1
11,0,0,1
10,19,0,0
10,17,0,0
10,16,0,0
10,15,0,1
10,14,0,1
10,13,0,0
10,10,0,0
10,2,0,0
10,1,0,0
10,0,0,0
9,19,0,1
9,17,0,1
9,16,0,1
9,14,0,0
9,13,0,1
9,10,0,1
9,4,0,0
9,2,0,1
9,1,0,1
9,0,0,1
8,16,0,0
8,15,0,0
8,14,0,1
8,13,0,0
8,4,0,1
8,2,0,0
8,0,0,0
7,16,0,1
7,15,0,1
7,13,0,1
7,2,0,1
7,1,0,0
7,0,0,1
6,14,0,0
6,13,0,0
6,12,0,0
6,2,0,0
6,1,0,1
5,16,0,0
5,14,0,1
5,13,0,1
5,12,0,1
5,2,0,1
4,16,0,1
4,15,0,0
4,14,0,0
4,9,0,0
3,16,0,0
3,13,0,0
3,12,0,0
3,9,0,1
3,8,0,0
3,3,0,0
3,2,0,0
2,17,0,0
2,16,0,1
2,15,0,1
2,13,0,1
2,12,0,1
2,11,0,0
2,10,0,0
2,9,0,0
2,8,0,1
2,7,0,0
2,3,0,1
2,2,0,1
2,1,0,0
1,17,0,1
1,14,0,0
1,13,0,0
1,12,0,0
1,11,0,1
1,10,0,1
1,9,0,1
1,8,0,0
1,6,0,0
1,4,0,0
1,3,0,0
1,2,0,0
1,1,0,1
0,14,0,1
0,13,0,1
0,12,0,1
0,8,0,1
0,7,0,1
0,6,0,1
0,4,0,1
0,3,0,1
0,2,0,1
00:00:05:640
14,2,0,0
13,2,0,1
2,14,0,1
00:00:05:650
8,3,0,0
7,3,0,1
00:00:05:700
19,14,0,1
19,13,0,1
19,12,0,1
19,8,0,1
19,7,0,1
19,6,0,1
19,4,0,1
19,3,0,1
19,2,0,1
18,18,0,0
18,15,0,0
18,12,0,0
18,8,0,0
17,18,0,1
17,15,0,1
17,14,0,0
17,12,0,1
17,9,0,0
17,8,0,1
16,18,0,0
16,14,0,1
16,13,0,0
16,12,0,0
16,9,0,1
16,8,0,0
16,0,0,0
15,18,0,1
15,13,0,1
15,12,0,1
15,11,0,0
15,10,0,0
15,8,0,1
15,3,0,0
15,1,0,0
15,0,0,1
14,19,0,0
14,11,0,1
14,10,0,1
14,3,0,1
14,1,0,1
13,19,0,1
13,17,0,0
13,9,0,0
12,19,0,0
12,18,0,0
12,17,0,1
12,16,0,0
12,15,0,0
12,9,0,1
11,19,0,1
11,18,0,1
11,17,0,0
11,16,0,1
11,15,0,1
11,1,0,0
11,0,0,0
10,17,0,1
10,15,0,0
10,14,0,0
10,1,0,1
10,0,0,1
9,19,0,0
9,17,0,0
9,16,0,0
9,15,0,1
9,14,0,1
9,13,0,0
9,10,0,0
9,2,0,0
9,1,0,0
9,0,0,0
8,19,0,1
8,17,0,1
8,16,0,1
8,14,0,0
8,13,0,1
8,10,0,1
8,4,0,0
8,2,0,1
8,1,0,1
8,0,0,1
7,16,0,0
7,15,0,0
7,14,0,1
7,13,0,0
7,4,0,1
7,2,0,0
7,0,0,0
6,16,0,1
6,15,0,1
6,13,0,1
6,2,0,1
6,1,0,0
6,0,0,1
5,14,0,0
5,13,0,0
5,12,0,0
5,2,0,0
5,1,0,1
4,16,0,0
4,14,0,1
4,13,0,1
4,12,0,1
4,2,0,1
3,16,0,1
3,15,0,0
3,14,0,0
3,9,0,0
2,16,0,0
2,13,0,0
2,12,0,0
2,9,0,1
2,8,0,0
2,3,0,0
2,2,0,0
1,17,0,0
1,16,0,1
1,15,0,1
1,13,0,1
1,12,0,1
1,11,0,0
1,10,0,0
1,9,0,0
1,8,0,1
1,7,0,0
1,3,0,1
1,2,0,1
1,1,0,0
0,17,0,1
0,14,0,0
0,13,0,0
0,12,0,0
0,11,0,1
0,10,0,1
0,9,0,1
0,8,0,0
0,6,0,0
0,4,0,0
0,3,0,0
0,2,0,0
0,1,0,1
00:00:05:740
1,14,0,1
13,2,0,0
12,2,0,1
00:00:05:750
7,3,0,0
6,3,0,1
00:00:05:800
19,17,0,1
19,14,0,0
19,13,0,0
19,12,0,0
19,11,0,1
19,10,0,1
19,9,0,1
19,8,0,0
19,6,0,0
19,4,0,0
19,3,0,0
19,2,0,0
19,1,0,1
18,14,0,1
18,13,0,1
18,12,0,1
18,8,0,1
18,7,0,1
18,6,0,1
18,4,0,1
18,3,0,1
18,2,0,1
17,18,0,0
17,15,0,0
17,12,0,0
17,8,0,0
16,18,0,1
16,15,0,1
16,14,0,0
16,12,0,1
16,9,0,0
16,8,0,1
15,18,0,0
15,14,0,1
15,13,0,0
15,12,0,0
15,9,0,1
15,8,0,0
15,0,0,0
14,18,0,1
14,13,0,1
14,12,0,1
14,11,0,0
14,10,0,0
14,8,0,1
14,3,0,0
14,1,0,0
14,0,0,1
13,19,0,0
13,11,0,1
13,10,0,1
13,3,0,1
13,1,0,1
12,19,0,1
12,17,0,0
12,9,0,0
11,19,0,0
11,18,0,0
11,17,0,1
11,16,0,0
11,15,0,0
11,9,0,1
10,19,0,1
10,18,0,1
10,17,0,0
10,16,0,1
10,15,0,1
10,1,0,0
10,0,0,0
9,17,0,1
9,15,0,0
9,14,0,0
9,1,0,1
9,0,0,1
8,19,0,0
8,17,0,0
8,16,0,0
8,15,0,1
8,14,0,1
8,13,0,0
8,10,0,0
8,2,0,0
8,1,0,0
8,0,0,0
7,19,0,1
7,17,0,1
7,16,0,1
7,14,0,0
7,13,0,1
7,10,0,1
7,4,0,0
7,2,0,1
7,1,0,1
7,0,0,1
6,16,0,0
6,15,0,0
6,14,0,1
6,13,0,0
6,4,0,1
6,2,0,0
6,0,0,0
5,16,0,1
5,15,0,1
5,13,0,1
5,2,0,1
5,1,0,0
5,0,0,1
4,14,0,0
4,13,0,0
4,12,0,0
4,2,0,0
4,1,0,1
3,16,0,0
3,14,0,1
3,13,0,1
3,12,0,1
3,2,0,1
2,16,0,1
2,15,0,0
2,14,0,0
2,9,0,0
1,16,0,0
1,13,0,0
1,12,0,0
1,9,0,1
1,8,0,0
1,3,0,0
1,2,0,0
0,17,0,0
0,16,0,1
0,15,0,1
0,13,0,1
0,12,0,1
0,11,0,0
0,10,0,0
0,9,0,0
0,8,0,1
0,7,0,0
0,3,0,1
0,2,0,1
0,1,0,0
00:00:05:840
0,14,0,1
12,2,0,0
11,2,0,1
00:00:05:850
6,3,0,0
5,3,0,1
00:00:05:900
19,17,0,0
19,16,0,1
19,15,0,1
19,13,0,1
19,12,0,1
19,11,0,0
19,10,0,0
19,9,0,0
19,8,0,1
19,7,0,0
19,3,0,1
19,2,0,1
19,1,0,0
18,17,0,1
18,14,0,0
18,13,0,0
18,12,0,0
18,11,0,1
18,10,0,1
18,9,0,1
18,8,0,0
18,6,0,0
18,4,0,0
18,3,0,0
18,2,0,0
18,1,0,1
17,14,0,1
17,13,0,1
17,12,0,1
17,8,0,1
17,7,0,1
17,6,0,1
17,4,0,1
17,3,0,1
17,2,0,1
16,18,0,0
16,15,0,0
16,12,0,0
16,8,0,0
15,18,0,1
15,15,0,1
15,14,0,0
15,12,0,1
15,9,0,0
15,8,0,1
14,18,0,0
14,14,0,1
14,13,0,0
14,12,0,0
14,9,0,1
14,8,0,0
14,0,0,0
13,18,0,1
13,13,0,1
13,12,0,1
13,11,0,0
13,10,0,0
13,8,0,1
13,3,0,0
13,1,0,0
13,0,0,1
12,19,0,0
12,11,0,1
12,10,0,1
12,3,0,1
12,1,0,1
11,19,0,1
11,17,0,0
11,9,0,0
10,19,0,0
10,18,0,0
10,17,0,1
10,16,0,0
10,15,0,0
10,9,0,1
9,19,0,1
9,18,0,1
9,17,0,0
9,16,0,1
9,15,0,1
9,1,0,0
9,0,0,0
8,17,0,1
8,15,0,0
8,14,0,0
8,1,0,1
8,0,0,1
7,19,0,0
7,17,0,0
7,16,0,0
7,15,0,1
7,14,0,1
7,13,0,0
7,10,0,0
7,2,0,0
7,1,0,0
7,0,0,0
6,19,0,1
6,17,0,1
6,16,0,1
6,14,0,0
6,13,0,1
6,10,0,1
6,4,0,0
6,2,0,1
6,1,0,1
6,0,0,1
5,16,0,0
5,15,0,0
5,14,0,1
5,13,0,0
5,4,0,1
5,2,0,0
5,0,0,0
4,16,0,1
4,15,0,1
4,13,0,1
4,2,0,1
4,1,0,0
4,0,0,1
3,14,0,0
3,13,0,0
3,12,0,0
3,2,0,0
3,1,0,1
2,16,0,0
2,14,0,1
2,13,0,1
2,12,0,1
2,2,0,1
1,16,0,1
1,15,0,0
1,14,0,0
1,9,0,0
0,16,0,0
0,13,0,0
0,12,0,0
0,9,0,1
0,8,0,0
0,3,0,0
0,2,0,0
00:00:05:940
19,14,0,1
11,2,0,0
10,2,0,1
00:00:05:950
5,3,0,0
4,3,0,1
00:00:06:000
19,16,0,0
19,13,0,0
19,12,0,0
19,9,0,1
19,8,0,0
19,3,0,0
19,2,0,0
18,17,0,0
18,16,0,1
18,15,0,1
18,13,0,1
18,12,0,1
18,11,0,0
18,10,0,0
18,9,0,0
18,8,0,1
18,7,0,0
18,3,0,1
18,2,0,1
18,1,0,0
17,17,0,1
17,14,0,0
17,13,0,0
17,12,0,0
17,11,0,1
17,10,0,1
17,9,0,1
17,8,0,0
17,6,0,0
17,4,0,0
17,3,0,0
17,2,0,0
17,1,0,1
16,14,0,1
16,13,0,1
16,12,0,1
16,8,0,1
16,7,0,1
16,6,0,1
16,4,0,1
16,3,0,1
16,2,0,1
15,18,0,0
15,15,0,0
15,12,0,0
15,8,0,0
14,18,0,1
14,15,0,1
14,14,0,0
14,12,0,1
14,9,0,0
14,8,0,1
13,18,0,0
13,14,0,1
13,13,0,0
13,12,0,0
13,9,0,1
13,8,0,0
13,0,0,0
12,18,0,1
12,13,0,1
12,12,0,1
12,11,0,0
12,10,0,0
12,8,0,1
12,3,0,0
12,1,0,0
12,0,0,1
11,19,0,0
11,11,0,1
11,10,0,1
11,3,0,1
11,1,0,1
10,19,0,1
10,17,0,0
10,9,0,0
9,19,0,0
9,18,0,0
9,17,0,1
9,16,0,0
9,15,0,0
9,9,0,1
8,19,0,1
8,18,0,1
8,17,0,0
8,16,0,1
8,15,0,1
8,1,0,0
8,0,0,0
7,17,0,1
7,15,0,0
7,14,0,0
7,1,0,1
7,0,0,1
6,19,0,0
6,17,0,0
6,16,0,0
6,15,0,1
6,14,0,1
6,13,0,0
6,10,0,0
6,2,0,0
6,1,0,0
6,0,0,0
5,19,0,1
5,17,0,1
5,16,0,1
5,14,0,0
5,13,0,1
5,10,0,1
5,4,0,0
5,2,0,1
5,1,0,1
5,0,0,1
4,16,0,0
4,15,0,0
4,14,0,1
4,13,0,0
4,4,0,1
4,2,0,0
4,0,0,0
3,16,0,1
3,15,0,1
3,13,0,1
3,2,0,1
3,1,0,0
3,0,0,1
2,14,0,0
2,13,0,0
2,12,0,0
2,2,0,0
2,1,0,1
1,16,0,0
1,14,0,1
1,13,0,1
1,12,0,1
1,2,0,1
0,16,0,1
0,15,0,0
0,14,0,0
0,9,0,0
00:00:06:040
18,14,0,1
10,2,0,0
9,2,0,1
00:00:06:050
4,3,0,0
3,3,0,1
00:00:06:100
19,16,0,1
19,15,0,0
19,14,0,0
19,9,0,0
18,16,0,0
18,13,0,0
18,12,0,0
18,9,0,1
18,8,0,0
18,3,0,0
18,2,0,0
17,17,0,0
17,16,0,1
17,15,0,1
17,13,0,1
17,12,0,1
17,11,0,0
17,10,0,0
17,9,0,0
17,8,0,1
17,7,0,0
17,3,0,1
17,2,0,1
17,1,0,0
16,17,0,1
16,14,0,0
16,13,0,0
16,12,0,0
16,11,0,1
16,10,0,1
16,9,0,1
16,8,0,0
16,6,0,0
16,4,0,0
16,3,0,0
16,2,0,0
16,1,0,1
15,14,0,1
15,13,0,1
15,12,0,1
15,8,0,1
15,7,0,1
15,6,0,1
15,4,0,1
15,3,0,1
15,2,0,1
14,18,0,0
14,15,0,0
14,12,0,0
14,8,0,0
13,18,0,1
13,15,0,1
13,14,0,0
13,12,0,1
13,9,0,0
13,8,0,1
12,18,0,0
12,14,0,1
12,13,0,0
12,12,0,0
12,9,0,1
12,8,0,0
12,0,0,0
11,18,0,1
11,13,0,1
11,12,0,1
11,11,0,0
11,10,0,0
11,8,0,1
11,3,0,0
11,1,0,0
11,0,0,1
10,19,0,0
10,11,0,1
10,10,0,1
10,3,0,1
10,1,0,1
9,19,0,1
9,17,0,0
9,9,0,0
8,19,0,0
8,18,0,0
8,17,0,1
8,16,0,0
8,15,0,0
8,9,0,1
7,19,0,1
7,18,0,1
7,17,0,0
7,16,0,1
7,15,0,1
7,1,0,0
7,0,0,0
6,17,0,1
6,15,0,0
6,14,0,0
6,1,0,1
6,0,0,1
5,19,0,0
5,17,0,0
5,16,0,0
5,15,0,1
5,14,0,1
5,13,0,0
5,10,0,0
5,2,0,0
5,1,0,0
5,0,0,0
4,19,0,1
4,17,0,1
4,16,0,1
4,14,0,0
4,13,0,1
4,10,0,1
4,4,0,0
4,2,0,1
4,1,0,1
4,0,0,1
3,16,0,0
3,15,0,0
3,14,0,1
3,13,0,0
3,4,0,1
3,2,0,0
3,0,0,0
2,16,0,1
2,15,0,1
2,13,0,1
2,2,0,1
2,1,0,0
2,0,0,1
1,14,0,0
1,13,0,0
1,12,0,0
1,2,0,0
1,1,0,1
0,16,0,0
0,14,0,1
0,13,0,1
0,12,0,1
0,2,0,1
00:00:06:140
17,14,0,1
9,2,0,0
8,2,0,1
00:00:06:150
3,3,0,0
2,3,0,1
00:00:06:200
19,16,0,0
19,14,0,1
19,13,0,1
19,12,0,1
19,2,0,1
18,16,0,1
18,15,0,0
18,14,0,0
18,9,0,0
17,16,0,0
17,13,0,0
17,12,0,0
17,9,0,1
17,8,0,0
17,3,0,0
17,2,0,0
16,17,0,0
16,16,0,1
16,15,0,1
16,13,0,1
16,12,0,1
16,11,0,0
16,10,0,0
16,9,0,0
16,8,0,1
16,7,0,0
16,3,0,1
16,2,0,1
16,1,0,0
15,17,0,1
15,14,0,0
15,13,0,0
15,12,0,0
15,11,0,1
15,10,0,1
15,9,0,1
15,8,0,0
15,6,0,0
15,4,0,0
15,3,0,0
15,2,0,0
15,1,0,1
14,14,0,1
14,13,0,1
14,12,0,1
14,8,0,1
14,7,0,1
14,6,0,1
14,4,0,1
14,3,0,1
14,2,0,1
13,18,0,0
13,15,0,0
13,12,0,0
13,8,0,0
12,18,0,1
12,15,0,1
12,14,0,0
12,12,0,1
12,9,0,0
12,8,0,1
11,18,0,0
11,14,0,1
11,13,0,0
11,12,0,0
11,9,0,1
11,8,0,0
11,0,0,0
10,18,0,1
10,13,0,1
10,12,0,1
10,11,0,0
10,10,0,0
10,8,0,1
10,3,0,0
10,1,0,0
10,0,0,1
9,19,0,0
9,11,0,1
9,10,0,1
9,3,0,1
9,1,0,1
8,19,0,1
8,17,0,0
8,9,0,0
7,19,0,0
7,18,0,0
7,17,0,1
7,16,0,0
7,15,0,0
7,9,0,1
6,19,0,1
6,18,0,1
6,17,0,0
6,16,0,1
6,15,0,1
6,1,0,0
6,0,0,0
5,17,0,1
5,15,0,0
5,14,0,0
5,1,0,1
5,0,0,1
4,19,0,0
4,17,0,0
4,16,0,0
4,15,0,1
4,14,0,1
4,13,0,0
4,10,0,0
4,2,0,0
4,1,0,0
4,0,0,0
3,19,0,1
3,17,0,1
3,16,0,1
3,14,0,0
3,13,0,1
3,10,0,1
3,4,0,0
3,2,0,1
3,1,0,1
3,0,0,1
2,16,0,0
2,15,0,0
2,14,0,1
2,13,0,0
2,4,0,1
2,2,0,0
2,0,0,0
1,16,0,1
1,15,0,1
1,13,0,1
1,2,0,1
1,1,0,0
1,0,0,1
0,14,0,0
0,13,0,0
0,12,0,0
0,2,0,0
0,1,0,1
00:00:06:240
16,14,0,1
8,2,0,0
7,2,0,1
00:00:06:250
2,3,0,0
1,3,0,1
00:00:06:300
19,14,0,0
19,13,0,0
19,12,0,0
19,2,0,0
19,1,0,1
18,16,0,0
18,14,0,1
18,13,0,1
18,12,0,1
18,2,0,1
17,16,0,1
17,15,0,0
17,14,0,0
17,9,0,0
16,16,0,0
16,13,0,0
16,12,0,0
16,9,0,1
16,8,0,0
16,3,0,0
16,2,0,0
15,17,0,0
15,16,0,1
15,15,0,1
15,13,0,1
15,12,0,1
15,11,0,0
15,10,0,0
15,9,0,0
15,8,0,1
15,7,0,0
15,3,0,1
15,2,0,1
15,1,0,0
14,17,0,1
14,14,0,0
14,13,0,0
14,12,0,0
14,11,0,1
14,10,0,1
14,9,0,1
14,8,0,0
14,6,0,0
14,4,0,0
14,3,0,0
14,2,0,0
14,1,0,1
13,14,0,1
13,13,0,1
13,12,0,1
13,8,0,1
13,7,0,1
13,6,0,1
13,4,0,1
13,3,0,1
13,2,0,1
12,18,0,0
12,15,0,0
12,12,0,0
12,8,0,0
11,18,0,1
11,15,0,1
11,14,0,0
11,12,0,1
11,9,0,0
11,8,0,1
10,18,0,0
10,14,0,1
10,13,0,0
10,12,0,0
10,9,0,1
10,8,0,0
10,0,0,0
9,18,0,1
9,13,0,1
9,12,0,1
9,11,0,0
9,10,0,0
9,8,0,1
9,3,0,0
9,1,0,0
9,0,0,1
8,19,0,0
8,11,0,1
8,10,0,1
8,3,0,1
8,1,0,1
7,19,0,1
7,17,0,0
7,9,0,0
6,19,0,0
6,18,0,0
6,17,0,1
6,16,0,0
6,15,0,0
6,9,0,1
5,19,0,1
5,18,0,1
5,17,0,0
5,16,0,1
5,15,0,1
5,1,0,0
5,0,0,0
4,17,0,1
4,15,0,0
4,14,0,0
4,1,0,1
4,0,0,1
3,19,0,0
3,17,0,0
3,16,0,0
3,15,0,1
3,14,0,1
3,13,0,0
3,10,0,0
3,2,0,0
3,1,0,0
3,0,0,0
2,19,0,1
2,17,0,1
2,16,0,1
2,14,0,0
2,13,0,1
2,10,0,1
2,4,0,0
2,2,0,1
2,1,0,1
2,0,0,1
1,16,0,0
1,15,0,0
1,14,0,1
1,13,0,0
1,4,0,1
1,2,0,0
1,0,0,0
0,16,0,1
0,15,0,1
0,13,0,1
0,2,0,1
0,1,0,0
0,0,0,1
00:00:06:340
15,14,0,1
7,2,0,0
6,2,0,1
00:00:06:350
1,3,0,0
0,3,0,1
00:00:06:400
19,16,0,1
19,15,0,1
19,13,0,1
19,2,0,1
19,1,0,0
19,0,0,1
18,14,0,0
18,13,0,0
18,12,0,0
18,2,0,0
18,1,0,1
17,16,0,0
17,14,0,1
17,13,0,1
17,12,0,1
17,2,0,1
16,16,0,1
16,15,0,0
16,14,0,0
16,9,0,0
15,16,0,0
15,13,0,0
15,12,0,0
15,9,0,1
15,8,0,0
15,3,0,0
15,2,0,0
14,17,0,0
14,16,0,1
14,15,0,1
14,13,0,1
14,12,0,1
14,11,0,0
14,10,0,0
14,9,0,0
14,8,0,1
14,7,0,0
14,3,0,1
14,2,0,1
14,1,0,0
13,17,0,1
13,14,0,0
13,13,0,0
13,12,0,0
13,11,0,1
13,10,0,1
13,9,0,1
13,8,0,0
13,6,0,0
13,4,0,0
13,3,0,0
13,2,0,0
13,1,0,1
12,14,0,1
12,13,0,1
12,12,0,1
12,8,0,1
12,7,0,1
12,6,0,1
12,4,0,1
12,3,0,1
12,2,0,1
11,18,0,0
11,15,0,0
11,12,0,0
11,8,0,0
10,18,0,1
10,15,0,1
10,14,0,0
10,12,0,1
10,9,0,0
10,8,0,1
9,18,0,0
9,14,0,1
9,13,0,0
9,12,0,0
9,9,0,1
9,8,0,0
9,0,0,0
8,18,0,1
8,13,0,1
8,12,0,1
8,11,0,0
8,10,0,0
8,8,0,1
8,3,0,0
8,1,0,0
8,0,0,1
7,19,0,0
7,11,0,1
7,10,0,1
7,3,0,1
7,1,0,1
6,19,0,1
6,17,0,0
6,9,0,0
5,19,0,0
5,18,0,0
5,17,0,1
5,16,0,0
5,15,0,0
5,9,0,1
4,19,0,1
4,18,0,1
4,17,0,0
4,16,0,1
4,15,0,1
4,1,0,0
4,0,0,0
3,17,0,1
3,15,0,0
3,14,0,0
3,1,0,1
3,0,0,1
2,19,0,0
2,17,0,0
2,16,0,0
2,15,0,1
2,14,0,1
2,13,0,0
2,10,0,0
2,2,0,0
2,1,0,0
2,0,0,0
1,19,0,1
1,17,0,1
1,16,0,1
1,14,0,0
1,13,0,1
1,10,0,1
1,4,0,0
1,2,0,1
1,1,0,1
1,0,0,1
0,16,0,0
0,15,0,0
0,14,0,1
0,13,0,0
0,4,0,1
0,2,0,0
0,0,0,0
00:00:06:440
14,14,0,1
6,2,0,0
5,2,0,1
00:00:06:450
19,3,0,1
0,3,0,0
00:00:06:500
19,16,0,0
19,15,0,0
19,14,0,1
19,13,0,0
19,4,0,1
19,2,0,0
19,0,0,0
18,16,0,1
18,15,0,1
18,13,0,1
18,2,0,1
18,1,0,0
18,0,0,1
17,14,0,0
17,13,0,0
17,12,0,0
17,2,0,0
17,1,0,1
16,16,0,0
16,14,0,1
16,13,0,1
16,12,0,1
16,2,0,1
15,16,0,1
15,15,0,0
15,14,0,0
15,9,0,0
14,16,0,0
14,13,0,0
14,12,0,0
14,9,0,1
14,8,0,0
14,3,0,0
14,2,0,0
13,17,0,0
13,16,0,1
13,15,0,1
13,13,0,1
13,12,0,1
13,11,0,0
13,10,0,0
13,9,0,0
13,8,0,1
13,7,0,0
13,3,0,1
13,2,0,1
13,1,0,0
12,17,0,1
12,14,0,0
12,13,0,0
12,12,0,0
12,11,0,1
12,10,0,1
12,9,0,1
12,8,0,0
12,6,0,0
12,4,0,0
12,3,0,0
12,2,0,0
12,1,0,1
11,14,0,1
11,13,0,1
11,12,0,1
11,8,0,1
11,7,0,1
11,6,0,1
11,4,0,1
11,3,0,1
11,2,0,1
10,18,0,0
10,15,0,0
10,12,0,0
10,8,0,0
9,18,0,1
9,15,0,1
9,14,0,0
9,12,0,1
9,9,0,0
9,8,0,1
8,18,0,0
8,14,0,1
8,13,0,0
8,12,0,0
8,9,0,1
8,8,0,0
8,0,0,0
7,18,0,1
7,13,0,1
7,12,0,1
7,11,0,0
7,10,0,0
7,8,0,1
7,3,0,0
7,1,0,0
7,0,0,1
6,19,0,0
6,11,0,1
6,10,0,1
6,3,0,1
6,1,0,1
5,19,0,1
5,17,0,0
5,9,0,0
4,19,0,0
4,18,0,0
4,17,0,1
4,16,0,0
4,15,0,0
4,9,0,1
3,19,0,1
3,18,0,1
3,17,0,0
3,16,0,1
3,15,0,1
3,1,0,0
3,0,0,0
2,17,0,1
2,15,0,0
2,14,0,0
2,1,0,1
2,0,0,1
1,19,0,0
1,17,0,0
1,16,0,0
1,15,0,1
1,14,0,1
1,13,0,0
1,10,0,0
1,2,0,0
1,1,0,0
1,0,0,0
0,19,0,1
0,17,0,1
0,16,0,1
0,14,0,0
0,13,0,1
0,10,0,1
0,4,0,0
0,2,0,1
0,1,0,1
0,0,0,1
00:00:06:540
13,14,0,1
5,2,0,0
4,2,0,1
00:00:06:550
19,3,0,0
18,3,0,1
00:00:06:600
19,19,0,1
19,17,0,1
19,16,0,1
19,14,0,0
19,13,0,1
19,10,0,1
19,4,0,0
19,2,0,1
19,1,0,1
19,0,0,1
18,16,0,0
18,15,0,0
18,14,0,1
18,13,0,0
18,4,0,1
18,2,0,0
18,0,0,0
17,16,0,1
17,15,0,1
17,13,0,1
17,2,0,1
17,1,0,0
17,0,0,1
16,14,0,0
16,13,0,0
16,12,0,0
16,2,0,0
16,1,0,1
15,16,0,0
15,14,0,1
15,13,0,1
15,12,0,1
15,2,0,1
14,16,0,1
14,15,0,0
14,14,0,0
14,9,0,0
13,16,0,0
13,13,0,0
13,12,0,0
13,9,0,1
13,8,0,0
13,3,0,0
13,2,0,0
12,17,0,0
12,16,0,1
12,15,0,1
12,13,0,1
12,12,0,1
12,11,0,0
12,10,0,0
12,9,0,0
12,8,0,1
12,7,0,0
12,3,0,1
12,2,0,1
12,1,0,0
11,17,0,1
11,14,0,0
11,13,0,0
11,12,0,0
11,11,0,1
11,10,0,1
11,9,0,1
11,8,0,0
11,6,0,0
11,4,0,0
11,3,0,0
11,2,0,0
11,1,0,1
10,14,0,1
10,13,0,1
10,12,0,1
10,8,0,1
10,7,0,1
10,6,0,1
10,4,0,1
10,3,0,1
10,2,0,1
9,18,0,0
9,15,0,0
9,12,0,0
9,8,0,0
8,18,0,1
8,15,0,1
8,14,0,0
8,12,0,1
8,9,0,0
8,8,0,1
7,18,0,0
